	index	KEY	MT	MT2	IDC
0	0	201301	9422.40	2690	52
1	1	201302	11087.30	3128	71
2	2	201303	49261.45	12029	132
3	3	201304	56767.95	12111	128
4	4	201305	93684.55	18415	140
5	5	201306	129818.25	23815	175
6	6	201307	143841.20	21891	196
7	7	201308	144208.25	26839	217
8	8	201309	129512.45	24557	203
9	9	201310	123054.10	26172	224
10	10	201311	203681.45	36667	236
11	11	201312	800846.65	47027	343
12	12	201401	492336.65	63517	509
13	13	201402	635378.00	82320	690
14	14	201403	578210.95	80949	625
15	15	201404	439754.35	74818	562
16	16	201405	413559.65	81448	527
17	17	201406	386475.55	82264	639
18	18	201407	406777.55	88468	605
19	19	201408	390878.15	90863	578
20	20	201409	444030.85	84650	543
21	21	201410	533560.85	89692	596
22	22	201411	506182.30	66188	535
