IDP	KEY	MT
Produit 0	2013-01-01	3861.0
Produit 0	2013-02-01	2168.0
Produit 0	2013-03-01	3067.2
Produit 0	2013-04-01	2967.4
Produit 0	2013-05-01	1982.8
Produit 0	2013-06-01	5411.8
Produit 0	2013-07-01	6282.3
Produit 0	2013-08-01	7454.2
Produit 0	2013-09-01	4149.6
Produit 0	2013-10-01	5402.3
Produit 0	2013-11-01	8030.3
Produit 0	2013-12-01	2185.0
Produit 0	2014-01-01	279.5
Produit 0	2014-02-01	8.0
Produit 0	2014-03-01	2647.6
Produit 0	2014-04-01	1355.0
Produit 0	2014-05-01	2708.4
Produit 0	2014-06-01	3497.4
Produit 0	2014-07-01	4098.0
Produit 0	2014-08-01	5014.0
Produit 0	2014-09-01	6445.7
Produit 0	2014-10-01	2564.5
Produit 0	2014-11-01	1061.1
Produit 1	2013-01-01	5085.0
Produit 1	2013-02-01	2412.8
Produit 1	2013-03-01	2702.6
Produit 1	2013-04-01	1756.0
Produit 1	2013-05-01	2822.8
Produit 1	2013-06-01	5671.1
Produit 1	2013-07-01	6226.8
Produit 1	2013-08-01	6552.9
Produit 1	2013-09-01	4500.8
Produit 1	2013-10-01	5043.8
Produit 1	2013-11-01	6179.5
Produit 1	2013-12-01	1039.5
Produit 1	2014-01-01	245.5
Produit 1	2014-02-01	34.0
Produit 1	2014-03-01	2017.5
Produit 1	2014-04-01	3580.5
Produit 1	2014-05-01	5176.9
Produit 1	2014-06-01	3801.4
Produit 1	2014-07-01	4337.0
Produit 1	2014-08-01	5413.3
Produit 1	2014-09-01	6541.1
Produit 1	2014-10-01	3182.0
Produit 1	2014-11-01	1403.5
Produit 2	2013-01-01	476.4
Produit 2	2013-02-01	448.0
Produit 2	2013-03-01	631.5
Produit 2	2013-04-01	120.5
Produit 2	2013-05-01	285.0
Produit 2	2013-06-01	710.5
Produit 2	2013-07-01	229.9
Produit 2	2013-08-01	746.5
Produit 2	2013-09-01	1183.0
Produit 2	2013-10-01	654.5
Produit 2	2013-11-01	310.0
Produit 2	2013-12-01	3.0
Produit 2	2014-03-01	1096.0
Produit 2	2014-04-01	312.0
Produit 2	2014-05-01	3.0
Produit 3	2013-02-01	2901.0
Produit 3	2013-03-01	26418.0
Produit 3	2013-04-01	32552.5
Produit 3	2013-05-01	56693.5
Produit 3	2013-06-01	82113.0
Produit 3	2013-07-01	90835.0
Produit 3	2013-08-01	78759.0
Produit 3	2013-09-01	77373.0
Produit 3	2013-10-01	70041.5
Produit 3	2013-11-01	133559.5
Produit 3	2013-12-01	714426.0
Produit 3	2014-01-01	372541.5
Produit 3	2014-02-01	445040.0
Produit 3	2014-03-01	423355.0
Produit 3	2014-04-01	330292.0
Produit 3	2014-05-01	239930.0
Produit 3	2014-06-01	250994.0
Produit 3	2014-07-01	255181.0
Produit 3	2014-08-01	246989.5
Produit 3	2014-09-01	305566.5
Produit 3	2014-10-01	398420.0
Produit 3	2014-11-01	390799.5
Produit 4	2013-02-01	1552.0
Produit 4	2013-03-01	8170.0
Produit 4	2013-04-01	8630.5
Produit 4	2013-05-01	11713.0
Produit 4	2013-06-01	15315.5
Produit 4	2013-07-01	15411.5
Produit 4	2013-08-01	16175.5
Produit 4	2013-09-01	16253.0
Produit 4	2013-10-01	19361.5
Produit 4	2013-11-01	22169.5
Produit 4	2013-12-01	38792.0
Produit 4	2014-01-01	53822.5
Produit 4	2014-02-01	88683.5
Produit 4	2014-03-01	65354.5
Produit 4	2014-04-01	38743.0
Produit 4	2014-05-01	59203.0
Produit 4	2014-06-01	57512.0
Produit 4	2014-07-01	62980.5
Produit 4	2014-08-01	59458.5
Produit 4	2014-09-01	58581.5
Produit 4	2014-10-01	61892.5
Produit 4	2014-11-01	60123.5
Produit 5	2013-02-01	1565.5
Produit 5	2013-03-01	6995.0
Produit 5	2013-04-01	8183.5
Produit 5	2013-05-01	16526.5
Produit 5	2013-06-01	17344.0
Produit 5	2013-07-01	21687.5
Produit 5	2013-08-01	29703.5
Produit 5	2013-09-01	21404.0
Produit 5	2013-10-01	18584.5
Produit 5	2013-11-01	28908.0
Produit 5	2013-12-01	37992.5
Produit 5	2014-01-01	53296.0
Produit 5	2014-02-01	85273.5
Produit 5	2014-03-01	70030.5
Produit 5	2014-04-01	54564.0
Produit 5	2014-05-01	82975.0
Produit 5	2014-06-01	58505.0
Produit 5	2014-07-01	65595.5
Produit 5	2014-08-01	60293.0
Produit 5	2014-09-01	55145.0
Produit 5	2014-10-01	54453.5
Produit 5	2014-11-01	43196.5
Produit 6	2013-02-01	40.0
Produit 6	2013-03-01	1277.15
Produit 6	2013-04-01	2557.55
Produit 6	2013-05-01	3660.95
Produit 6	2013-06-01	3252.35
Produit 6	2013-07-01	3168.2
Produit 6	2013-08-01	4816.65
Produit 6	2013-09-01	4649.05
Produit 6	2013-10-01	3966.0
Produit 6	2013-11-01	4524.65
Produit 6	2013-12-01	6408.65
Produit 6	2014-01-01	12151.65
Produit 6	2014-02-01	16339.0
Produit 6	2014-03-01	13709.85
Produit 6	2014-04-01	10907.85
Produit 6	2014-05-01	23563.35
Produit 6	2014-06-01	12165.75
Produit 6	2014-07-01	14585.55
Produit 6	2014-08-01	13709.85
Produit 6	2014-09-01	11751.05
Produit 6	2014-10-01	13048.35
Produit 6	2014-11-01	9598.2
