Club;Real_club;League;Country_league
Marseille;Olympique de Marseille;Ligue 1;France
Dijon;Dijon FCO;Ligue 1;France
Nantes;FC Nantes;Ligue 1;France
Paris;Paris Saint-Germain;Ligue 1;France
Lille;Lille OSC;Ligue 1;France
Rennes;Stade Rennais;Ligue 1;France
Lyon;Olympique Lyonnais;Ligue 1;France
Metz;FC Metz;Ligue 1;France
Monaco;AS Monaco;Ligue 1;France
Strasbourg;RC Strasbourg Alsace;Ligue 1;France
Nice;OGC Nice;Ligue 1;France
Amiens;Amiens SC;Ligue 1;France
Troyes;Troyes;Ligue 1;France
Guingamp;En Avant Guingamp;Ligue 1;France
Toulouse;Toulouse FC;Ligue 1;France
Saint-Etienne;AS Saint-Etienne;Ligue 1;France
Angers;Angers;Ligue 1;France
Caen;SM Caen;Ligue 1;France
Bordeaux;Girondins de Bordeaux;Ligue 1;France
Montpellier;Montpellier HSC;Ligue 1;France
Newcastle;Newcastle United;Premier League;England
Swansea City;Swansea City;Premier League;England
Stoke City;Stoke City;Premier League;England
Manchester City;Manchester City;Premier League;England
Bournemouth;AFC Bournemouth;Premier League;England
Arsenal;Arsenal;Premier League;England
Leicester City;Leicester City;Premier League;England
Tottenham;Tottenham Hotspur;Premier League;England
West Ham;West Ham United;Premier League;England
Liverpool;Liverpool;Premier League;England
Southampton;Southampton;Premier League;England
Chelsea;Chelsea;Premier League;England
Watford;Watford;Premier League;England
Everton;Everton;Premier League;England
Burnley;Aston Villa;Premier League;England
Huddersfield Town;Huddersfield Town;Premier League;England
Manchester United;Manchester United;Premier League;England
West Bromwich;West Bromwich Albion;Premier League;England
Crystal Palace;Crystal Palace;Premier League;England
Brighton & Hove Albion;Brighton & Hove Albion;Premier League;England
Seville;Sevilla FC;Liga;Spain
Valence;Valencia;Liga;Spain
Real Betis Seville;Real Betis;Liga;Spain
Barcelone;FC Barcelona;Liga;Spain
Celta Vigo;Celta Vigo;Liga;Spain
Leganes;Leganes;Liga;Spain
La Corogne;Deportivo La Coruna;Liga;Spain
Getafe;Getafe;Liga;Spain
Real Madrid;Real Madrid;Liga;Spain
Villarreal;Villarreal;Liga;Spain
Malaga;Malaga;Liga;Spain
Las Palmas;Las Palmas;Liga;Spain
Real Sociedad;Real Sociedad;Liga;Spain
Atletico Madrid;Atletico Madrid;Liga;Spain
Espanyol Barcelone;Espanyol;Liga;Spain
Deportivo Alaves;Deportivo Alaves;Liga;Spain
Eibar;Eibar;Liga;Spain
Athletic Bilbao;Athletic Bilbao;Liga;Spain
UD Levante;Levante;Liga;Spain
Hannovre;Hannover 96;Bundesliga;Germany
Bayern Munich;Bayern Munich;Bundesliga;Germany
Schalke 04;Schalke 04;Bundesliga;Germany
Stuttgart;VfB Stuttgart;Bundesliga;Germany
RB Leipzig;RB Leipzig;Bundesliga;Germany
Bayer Leverkusen;Bayer Leverkusen;Bundesliga;Germany
Borussia Dortmund;Borussia Dortmund;Bundesliga;Germany
Hoffenheim;TSG Hoffenheim;Bundesliga;Germany
Cologne;FC Cologne;Bundesliga;Germany
Eintracht Francfort;Eintracht Frankfurt;Bundesliga;Germany
Wolfsburg;VfL Wolfsburg;Bundesliga;Germany
Mayence;Mainz;Bundesliga;Germany
Werder Breme;Werder Bremen;Bundesliga;Germany
Hertha Berlin;Hertha Berlin;Bundesliga;Germany
Hambourg;Hamburg SV;Bundesliga;Germany
Monchengladbach;Borussia Monchengladbach;Bundesliga;Germany
FC Augsburg;FC Augsburg;Bundesliga;Germany
Fribourg;SC Freiburg;Bundesliga;Germany
Milan AC;AC Milan;Serie A;Italy
Torino FC;Torino FC;Serie A;Italy
Juventus Turin;Juventus;Serie A;Italy
Udinese;Udinese;Serie A;Italy
Benevent;Benevent;Serie A;Italy
Fiorentina;Fiorentina;Serie A;Italy
Chievo Verone;Chievo Verona;Serie A;Italy
Genoa;Genoa;Serie A;Italy
SPAL;SPAL;Serie A;Italy
Sampdoria;Sampdoria;Serie A;Italy
Hellas Verona;Hellas Verona;Serie A;Italy
Inter Milan;Internazionale;Serie A;Italy
Atalanta Bergame;Atalanta Bergamo;Serie A;Italy
Lazio Rome;Lazio;Serie A;Italy
Bologne;Bologna;Serie A;Italy
AS Rome;AS Roma;Serie A;Italy
Naples;Napoli;Serie A;Italy
Sassuolo;Sassuolo;Serie A;Italy
Cagliari;Cagliari;Serie A;Italy
